Dataset Size,Dataset Variation,Sorting Algorithm,Time Taken
80000,Reversed,Merge Sort,6.58454e+07
80000,Reversed,Quick Sort,2.48926e+10
80000,Reversed,Selection Sort,8.34589e+09
80000,Sorted,Bubble Sort,8.95308e+09
80000,Sorted,Heap Sort,2.42886e+07
80000,Sorted,Insertion Sort,453800
80000,Sorted,Merge Sort,8.99555e+07
80000,Sorted,Quick Sort,2.52478e+10
80000,Sorted,Selection Sort,8.4755e+09
80000,Unique Entries,Bubble Sort,2.15992e+10
80000,Unique Entries,Heap Sort,2.39983e+07
80000,Unique Entries,Insertion Sort,491600
80000,Unique Entries,Merge Sort,6.65498e+07
80000,Unique Entries,Quick Sort,2.58813e+10
80000,Unique Entries,Selection Sort,8.14913e+09
80000,Random,Bubble Sort,2.1468e+10
80000,Random,Heap Sort,2.5868e+07
80000,Random,Insertion Sort,476900
80000,Random,Merge Sort,5.65093e+07
80000,Random,Quick Sort,2.61743e+10
80000,Random,Selection Sort,8.39498e+09
160000,Many Duplicates,Bubble Sort,8.60976e+10
160000,Many Duplicates,Heap Sort,5.32899e+07
160000,Many Duplicates,Insertion Sort,1.0485e+06
160000,Many Duplicates,Merge Sort,1.25764e+08
160000,Many Duplicates,Quick Sort,1.00233e+11
160000,Many Duplicates,Selection Sort,3.29798e+10
160000,Nearly Sorted,Bubble Sort,4.61182e+10
160000,Nearly Sorted,Heap Sort,5.17151e+07
160000,Nearly Sorted,Insertion Sort,932000
160000,Nearly Sorted,Merge Sort,1.25903e+08
160000,Nearly Sorted,Quick Sort,1.02733e+11
160000,Nearly Sorted,Selection Sort,3.31021e+10
160000,Reversed,Bubble Sort,6.27261e+10
160000,Reversed,Heap Sort,5.90975e+07
160000,Reversed,Insertion Sort,787300
160000,Reversed,Merge Sort,1.19756e+08
160000,Reversed,Quick Sort,1.00229e+11
160000,Reversed,Selection Sort,3.26553e+10
160000,Sorted,Bubble Sort,3.58389e+10
160000,Sorted,Heap Sort,7.12282e+07
160000,Sorted,Insertion Sort,926100
160000,Sorted,Merge Sort,1.31172e+08
160000,Sorted,Quick Sort,9.97941e+10
160000,Sorted,Selection Sort,3.282e+10
160000,Unique Entries,Bubble Sort,8.48342e+10
160000,Unique Entries,Heap Sort,5.06916e+07
160000,Unique Entries,Insertion Sort,785900
160000,Unique Entries,Merge Sort,1.76377e+08
160000,Unique Entries,Quick Sort,9.95181e+10
160000,Unique Entries,Selection Sort,3.26383e+10
160000,Random,Bubble Sort,8.52051e+10
160000,Random,Heap Sort,5.31972e+07
160000,Random,Insertion Sort,929000
160000,Random,Merge Sort,1.20288e+08
160000,Random,Quick Sort,1.00009e+11
160000,Random,Selection Sort,3.26826e+10
250000,Many Duplicates,Bubble Sort,2.07648e+11
250000,Many Duplicates,Heap Sort,9.27847e+07
250000,Many Duplicates,Insertion Sort,1.4599e+06
250000,Many Duplicates,Merge Sort,1.91455e+08
250000,Many Duplicates,Quick Sort,2.43308e+11
250000,Many Duplicates,Selection Sort,8.04255e+10
250000,Nearly Sorted,Bubble Sort,1.11744e+11
250000,Nearly Sorted,Heap Sort,8.44113e+07
250000,Nearly Sorted,Insertion Sort,1.443e+06
250000,Nearly Sorted,Merge Sort,1.81163e+08
250000,Nearly Sorted,Quick Sort,2.42865e+11
