Dataset Size,Dataset Variation,Sorting Algorithm,Time Taken
250000,Many Duplicates,Heap Sort,3.59695e+07
250000,Many Duplicates,Insertion Sort,1.16446e+10
250000,Many Duplicates,Merge Sort,7.32064e+07
250000,Many Duplicates,Quick Sort,3.0534e+10
250000,Many Duplicates,Selection Sort,3.81628e+10
250000,Nearly Sorted,Bubble Sort,4.08807e+10
250000,Nearly Sorted,Heap Sort,2.62351e+07
250000,Nearly Sorted,Insertion Sort,2.36505e+09
250000,Nearly Sorted,Merge Sort,5.66099e+07
250000,Nearly Sorted,Quick Sort,2.85295e+10
250000,Nearly Sorted,Selection Sort,3.84975e+10
250000,Reversed,Bubble Sort,2.60947e+10
250000,Reversed,Heap Sort,1.953e+07
250000,Reversed,Insertion Sort,1.92935e+10
250000,Reversed,Merge Sort,5.12936e+07
250000,Reversed,Quick Sort,2.29315e+10
250000,Reversed,Selection Sort,2.82914e+10
250000,Sorted,Bubble Sort,1.88354e+10
250000,Sorted,Heap Sort,2.07876e+07
250000,Sorted,Insertion Sort,212100
250000,Sorted,Merge Sort,4.88172e+07
250000,Sorted,Quick Sort,2.25039e+10
250000,Sorted,Selection Sort,2.80199e+10
250000,Unique Entries,Bubble Sort,7.90736e+10
250000,Unique Entries,Heap Sort,3.47067e+07
250000,Unique Entries,Insertion Sort,9.79579e+09
250000,Unique Entries,Merge Sort,6.93753e+07
250000,Unique Entries,Quick Sort,3.07906e+10
250000,Unique Entries,Selection Sort,4.19808e+10
250000,Random,Bubble Sort,7.59461e+10
250000,Random,Heap Sort,3.80283e+07
250000,Random,Insertion Sort,9.84566e+09
250000,Random,Merge Sort,7.32111e+07
250000,Random,Quick Sort,2.27477e+10
250000,Random,Selection Sort,2.84706e+10
500000,Many Duplicates,Bubble Sort,2.95322e+11
500000,Many Duplicates,Heap Sort,7.90027e+07
500000,Many Duplicates,Insertion Sort,3.79251e+10
500000,Many Duplicates,Merge Sort,1.38043e+08
500000,Many Duplicates,Quick Sort,9.02345e+10
500000,Many Duplicates,Selection Sort,1.12e+11
500000,Nearly Sorted,Bubble Sort,1.26883e+11
500000,Nearly Sorted,Heap Sort,7.01226e+07
